,drug,smile
129,CHEMBL102946,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCO)cc1
130,CHEMBL102953,O=C(CBr)c1ccccc1
131,CHEMBL102976,CN(C)CCNc1nc(Nc2ccccc2)c2ncn(C3CCCC3)c2n1
132,CHEMBL102986,Cc1cn(C/C=C\CNC(=O)C(c2ccccc2)c2ccccc2)c(=O)[nH]c1=O
133,CHEMBL102989,CCO[C@H]1CN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)C[C@H]1OCC
134,CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
135,CHEMBL103005,Cc1cc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)ccc1Oc1ccc(C(=O)NCC(C)(C)C)cc1
136,CHEMBL103009,COc1ccc(C(=O)CBr)cc1
137,CHEMBL103014,C[C@@H](Nc1ncnc2c1sc1ccccc12)c1ccccc1
138,CHEMBL103039,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(N4CCOCC4)c3)[nH]n2)cc1
139,CHEMBL103045,CCN1CCN(CCCOc2cc3ncc(C#N)c(Nc4ccc(Sc5nccn5C)c(Cl)c4)c3cc2OC)CC1
140,CHEMBL103054,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1c2c2cccc3c2n1CC(CO)C3
141,CHEMBL103055,CCN1CCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
142,CHEMBL103080,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1
143,CHEMBL103098,NS(=O)(=O)c1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1
144,CHEMBL103099,O=C(Nc1[nH]nc2cc(-c3ccc4ncccc4c3)ccc12)C1CC1
145,CHEMBL103104,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(O)c3)n[nH]2)cc1
146,CHEMBL103112,O=C(Nc1[nH]nc2cc(-c3ccc(F)c(F)c3)ccc12)C1CC1
147,CHEMBL103115,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(O)c(F)c3)n[nH]2)cc1
148,CHEMBL103179,COc1ccc2c(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)ncnc2c1OC
149,CHEMBL103272,CC(C)C(CO)Nc1nc(Nc2cccc(Cl)c2)c2nc(Cl)n(C(C)C)c2n1
150,CHEMBL103283,Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)[nH]c1=O
151,CHEMBL103285,NS(=O)(=O)c1ccc(Nc2cc(-c3cccc(Br)c3)[nH]n2)cc1
152,CHEMBL103293,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CCN5CCOCC5)c4)ccc23)c(Cl)cc1Cl
153,CHEMBL103307,O=C1Nc2ccccc2/C1=C\c1ccc(O)cc1
154,CHEMBL103322,COC(=O)CC(NCC1Cc2cccc3c(C4=C(c5c[nH]c6cc(F)ccc56)C(=O)NC4=O)cn(c23)C1)C(=O)OC
155,CHEMBL103326,COc1cc2nc(Cl)nc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC
156,CHEMBL103334,COc1ccc2c(c1)[nH]c1c2c2c(c3c4cccc5c4n(c13)CC(CO)C5)C(=O)NC2=O
157,CHEMBL103355,Cc1ccc(F)c(Nc2ccnc(Nc3ccc(S(N)(=O)=O)cc3)n2)c1
158,CHEMBL103382,NS(=O)(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1
159,CHEMBL103421,CCN1CCOCCN(CC)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCOCC1
160,CHEMBL103447,S=C(NCc1ccccc1)N1CCN(c2ncnc3ccccc23)CC1
161,CHEMBL103454,CCN1CCN(CCc2ccc(-c3ccc4c(Nc5cc(OC)c(Cl)cc5Cl)c(C#N)cnc4c3)cc2)CC1
162,CHEMBL103464,Oc1cccc(/C=C/c2ccc(O)c(O)c2)c1
163,CHEMBL103487,O=C(Nc1ccc(Oc2ccccc2)cc1)N1CCN(c2ncnc3ccccc23)CC1
164,CHEMBL103490,CCOc1cc2ncnc(N3CCN(/C(S)=N\Cc4ccccc4)CC3)c2cc1OC
165,CHEMBL103506,CCN1CCOCCOCCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CC1
166,CHEMBL103552,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O
167,CHEMBL103567,Cc1nc2c(Nc3cccc(Cl)c3)nc(NC3CCC(N)CC3)nc2n1C(C)C
168,CHEMBL103586,O=C(O)c1cc(/C=C/c2ccc(O)c(O)c2)ccc1O
169,CHEMBL103595,c1ccc2c(c1)c(-c1cncc(-c3ccsc3)c1)cn2CCN1CCOCC1
170,CHEMBL103627,CCN1CCN(Cc2ccc(-c3cc4ncc(C#N)c(Nc5cc(OC)c(Cl)cc5Cl)c4cc3OC)cc2)CC1
171,CHEMBL103628,CN1CCN(C)CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCN(C)CC1
172,CHEMBL103633,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3Br)n2)cc1
173,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1
174,CHEMBL103674,O=C1NC(=O)C(c2cn3c4c(cccc24)CC(CCl)C3)=C1c1c[nH]c2cc(F)ccc12
175,CHEMBL103684,O=C(O)c1cc(-c2ccc3cc(O)c(O)cc3c2)ccc1O
176,CHEMBL103714,CC(C)(C)c1cnc(CSc2cnc(NC(=O)Cc3cccnc3)s2)o1
177,CHEMBL103729,COCCOC1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1
178,CHEMBL103776,COc1cc2nc(N3CCOCC3)nc(N3CCN(C(=O)Nc4ccc(Oc5ccccc5)cc4)CC3)c2cc1OC
179,CHEMBL103812,Nc1ncnc2nc(-c3ccc(N4CCC(=NOC5CCOCC5)CC4)nn3)cc(-c3cccc(Br)c3)c12
180,CHEMBL103838,CC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](C)c1nc(Cc2ccc(C(F)(F)F)cc2)no1
181,CHEMBL103839,COc1cc(Nc2c(C#N)cnc3cc(-c4cccc(CN5CCOCC5)c4)ccc23)c(Cl)cc1Cl
182,CHEMBL103860,O=C(O)c1cc(CCc2cc(O)ccc2O)ccc1O
183,CHEMBL103864,C[C@H](Nc1[nH]cnc2c3ccccc3nc1-2)c1ccccc1
184,CHEMBL103909,Nc1ncnc2nc(-c3ccc(N4CCC(O)(C5CCOC5=O)CC4)nc3)cc(-c3cccc(Br)c3)c12
185,CHEMBL103960,O=C(O)c1cc(-c2ccc3c(O)c(O)ccc3c2)ccc1O
186,CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
187,CHEMBL104062,CC(=O)Nc1ccc(/C=C2\C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1
188,CHEMBL104064,Cc1ccc(CN)cc1NC(=O)CN1CCCCC(NC(=O)c2ccc(-c3ccccc3)cc2)C1=O
189,CHEMBL104071,CN1CCN(CCCOc2ccc(Nc3cc4c(cn3)cc(-c3c(Cl)cccc3Cl)c(=O)n4C)cc2)CC1
190,CHEMBL104077,COc1cccc(-c2cn(-c3cccc(C(=O)Nc4ccc(C(P(=O)(O)O)P(=O)(O)O)cc4)c3)c3ncnc(N)c23)c1
191,CHEMBL1041,CCC(C(N)=O)(C(=O)O)c1ccccc1
192,CHEMBL104153,COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
193,CHEMBL104166,N=C(N)c1ccc2cc(C(=O)Nc3ccc(CN)cc3)cc(Nc3ncccn3)c2c1
194,CHEMBL104215,Nc1ncnc2c1c(-c1cccc(O)c1)cn2-c1ccc(CCOP(=O)(O)CP(=O)(O)O)cc1
195,CHEMBL104244,CN1CCN(CCCCNc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
196,CHEMBL104264,O=S(=O)(NCCNC/C=C/c1ccc(Br)cc1)c1cccc2cnccc12
197,CHEMBL104279,Cn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2ccccc21
198,CHEMBL104304,CN1CCN(CCCNc2cc3nc(O)c(-c4c(Cl)cccc4Cl)cc3cn2)CC1
199,CHEMBL104322,CCN(CC)CCCCNc1cc2nc(O)c(-c3c(Cl)cccc3Cl)cc2cn1
200,CHEMBL104325,COc1cc2ncnc(N3CCN(C(=O)Nc4ccc(Cl)cc4)CC3)c2cc1OC
201,CHEMBL104333,COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2C
202,CHEMBL104357,CCN(CC)C(=O)c1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1
203,CHEMBL104373,COc1ccc(CNS(=O)(=O)c2ccc3c(c2)/C(=C/c2cn(C)c4ccc(OC)cc24)C(=O)N3)cc1
204,CHEMBL1044,O=C(O)Cc1ccccc1
205,CHEMBL104408,O=C1NC(=O)c2c1c1c3ccccc3ccc1c1c2c2cccc3c2n1CCC3CO
206,CHEMBL104409,O=C1Nc2ccc(NC(=O)c3ccccc3)cc2/C1=C/c1ccc[nH]1
207,CHEMBL104414,CN1CCN(c2ccc(Nc3cc4c(cn3)cc(-c3c(Cl)cccc3Cl)c(=O)n4C)cc2)CC1
208,CHEMBL104450,O=c1cc(-c2cccc(-c3ccc(O)cc3)c2)sc(N2CCOCC2)c1
209,CHEMBL104466,COc1cc2ncc(N[C@H]3CC[C@H](O)CC3)nc2cc1OC
210,CHEMBL104467,Nc1cc(OCC2CCCCC2)nc(Nc2ccc(S(N)(=O)=O)cc2)n1
211,CHEMBL104468,O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
212,CHEMBL104519,CNS(=O)(=O)c1ccc2c(c1)/C(=C/c1cn(C)c3ccc(OC)cc13)C(=O)N2
213,CHEMBL104526,Cn1ccc2ccc3c(c4c(c5c6cccc7c6n(c35)CC(CO)C7)C(=O)NC4=O)c21
214,CHEMBL104532,CN1CCN(CCCNc2ccc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)CC1
215,CHEMBL104583,COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(N)(=O)=O)cc31)cn2CC(=O)OC(C)(C)C
216,CHEMBL1046,NCCCCCC(=O)O
217,CHEMBL104640,CS(=O)(=O)c1ccc(/C=C2\C(=O)Nc3ccc(C(=O)c4cccs4)cc32)cc1
218,CHEMBL104644,O=c1cc(-c2cccc(-c3cccc(O)c3)c2)sc(N2CCOCC2)c1
219,CHEMBL104651,CCOC(=O)CCCCn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2cc(OC)ccc21
220,CHEMBL104682,Cc1ccc(-c2ccc(-c3cc(=O)cc(N4CCOCC4)s3)cc2)c2ccccc12
221,CHEMBL104691,COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(S(=O)(=O)NCC(=O)O)cc31)cn2C
222,CHEMBL104704,O=C(c1cccc2cc[nH]c12)N1CCN(Cc2ccccc2)CC1
223,CHEMBL104779,Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccncc3)nc21
224,CHEMBL104813,COc1ccc2c(c1)c(/C=C1\C(=O)Nc3ccc(C(=O)O)cc31)cn2C
225,CHEMBL104857,COc1cccc(-c2cn(-c3ccc(C(=O)NCCCP(=O)(O)CP(=O)(O)O)cc3)c3ncnc(N)c23)c1
226,CHEMBL104937,N=C(N)c1ccc2cc(C(=O)Nc3ccccc3)ccc2c1
227,CHEMBL104941,O=C1NC(=O)c2c1c1c3ccc(F)cc3[nH]c1c1c2c2cccc3c2n1CC(CO)C3
228,CHEMBL104963,O=C1Nc2ccc(C(=O)c3cccs3)cc2/C1=C/c1ccc[nH]1
229,CHEMBL104983,Nc1ncnc2nc(-c3ccc(N4CC5CC4CO5)nc3)cc(-c3cccc(Br)c3)c12
230,CHEMBL105005,COc1cccc(-c2cn(-c3cccc(C(=O)O)c3)c3ncnc(N)c23)c1
